File Path,crossbeam_channel,std::sync::mpsc
20_rust\rust\tests\ui\cross-crate\auxiliary\cci_capture_clause.rs,False,True
20_rust\rust\tests\ui\drop\drop-trait-enum.rs,False,True
20_rust\rust\tests\ui\functions-closures\closure-bounds-can-capture-chan.rs,False,True
20_rust\rust\tests\ui\hashmap\hashmap-memory.rs,False,True
20_rust\rust\tests\ui\inference\need_type_info\channel.rs,False,True
20_rust\rust\tests\ui\issues\issue-12041.rs,False,True
20_rust\rust\tests\ui\issues\issue-25368.rs,False,True
20_rust\rust\tests\ui\issues\issue-3609.rs,False,True
20_rust\rust\tests\ui\issues\issue-71406.rs,False,True
20_rust\rust\tests\ui\process\core-run-destroy.rs,False,True
20_rust\rust\tests\ui\rfcs\rfc-0107-bind-by-move-pattern-guards\bind-by-move-no-guards.rs,False,True
20_rust\rust\tests\ui\self\builtin-superkinds-self-type.rs,False,True
20_rust\rust\tests\ui\stdlib-unit-tests\not-sync.rs,False,True
20_rust\rust\tests\ui\structs-enums\ivec-tag.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\comm.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\issue-4446.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\issue-4448.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\issue-8827.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\issue-9396.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\mpsc_stress.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\send-resource.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\send-type-inference.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\sendable-class.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\spawn-types.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\task-comm-0.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\task-comm-10.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\task-comm-11.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\task-comm-13.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\task-comm-14.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\task-comm-15.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\task-comm-16.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\task-comm-3.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\task-comm-4.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\task-comm-5.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\task-comm-6.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\task-comm-7.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\task-comm-9.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\task-comm-chan-nil.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\task-spawn-move-and-copy.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\tcp-stress.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\trivial-message.rs,False,True
20_rust\rust\tests\ui\threads-sendsync\unwind-resource.rs,False,True
